variable,var_col,stratum,n_male,n_female,median_male,median_female,U,p,cliffs_d,ci_lo,ci_hi
direct_violence,sa_direct_violence_term_rate,full,47,50,0.09259259259259259,0.15743816906607605,686.5,0.0004272965538813523,-0.4157446808510638,-0.6072978723404255,-0.16582978723404265
direct_violence,sa_direct_violence_term_rate,criminal,16,34,0.07916740865454663,0.1635427903631787,106.5,0.0005999654821246357,-0.6084558823529411,-0.8529411764705882,-0.3224724264705883
direct_violence,sa_direct_violence_term_rate,civil,31,16,0.10182767624020887,0.14289446185997912,171.0,0.08589229054492951,-0.31048387096774194,-0.598891129032258,0.032459677419354654
perp_naming,sa_perp_ref_name_rate,full,47,50,0.2647058823529412,0.05945839874411303,1636.5,0.00087554800540424,0.39276595744680853,0.1883617021276596,0.5909255319148936
perp_naming,sa_perp_ref_name_rate,criminal,16,34,0.38933425355701845,0.04334898278560251,426.0,0.001411059802455843,0.5661764705882353,0.2977941176470588,0.8014705882352942
perp_naming,sa_perp_ref_name_rate,civil,31,16,0.1875,0.24159691159821084,262.5,0.7532792511874731,0.05846774193548387,-0.33296370967741934,0.44183467741935456
crime_vocab,empath_crime,full,47,50,0.0116680361544782,0.022307211101000847,540.0,4.6474616100818076e-06,-0.5404255319148936,-0.7260425531914894,-0.34508510638297873
crime_vocab,empath_crime,criminal,16,34,0.024188073116208603,0.0275068891382023,236.0,0.4603305452188333,-0.1323529411764706,-0.45955882352941174,0.22426470588235295
crime_vocab,empath_crime,civil,31,16,0.0086025280898876,0.01670463938384465,67.0,5.0706898135776835e-05,-0.7298387096774194,-0.9193548387096774,-0.481552419354839
victim_blame,sa_victim_blame_direct_rate,full,47,50,0.014184397163120567,0.013493866424352567,1253.0,0.5701098443654709,0.06638297872340425,-0.15451063829787234,0.3004148936170211
victim_blame,sa_victim_blame_direct_rate,criminal,16,34,0.0,0.006734083076364956,215.0,0.2050051872016091,-0.20955882352941177,-0.4605238970588235,0.08745404411764693
victim_blame,sa_victim_blame_direct_rate,civil,31,16,0.037037037037037035,0.04398087215934018,209.0,0.3872581010395685,-0.15725806451612903,-0.45776209677419355,0.1432459677419354
affect,vader_para_mean_compound,full,47,50,-0.138038961038961,-0.20510900514579755,1579.0,0.003583845561363272,0.34382978723404256,0.09948936170212767,0.5596808510638297
affect,vader_para_mean_compound,criminal,16,34,-0.22717786511046986,-0.2278409828872312,323.0,0.29359788129678677,0.1875,-0.1489889705882353,0.5148897058823528
affect,vader_para_mean_compound,civil,31,16,-0.1033766666666666,-0.1598588095238095,303.0,0.22111783413468578,0.2217741935483871,-0.09294354838709676,0.5263104838709676
