label,var,n_male,n_female,U,p,cliffs_d,ci_lo,ci_hi,q_fdr_bh,p_bonf,fdr_sig,bonf_sig
Direct violence terms,sa_direct_violence_term_rate,16,34,103.0,0.0004577439430861606,-0.6213235294117647,-0.8550551470588236,-0.34558823529411764,0.0034330795731462044,0.006866159146292409,True,True
Perpetrator naming,sa_perp_ref_name_rate,16,34,442.5,0.000385781720167168,0.6268382352941176,0.29761029411764706,0.8676470588235294,0.0034330795731462044,0.00578672580250752,True,True
Empath: crime vocabulary,empath_crime,16,34,210.0,0.20088600452517213,-0.22794117647058823,-0.557077205882353,0.125,0.3766612584846978,1.0,False,False
Victim-blaming language,sa_victim_blame_direct_rate,16,34,246.0,0.5634575027026605,-0.09558823529411764,-0.3680147058823529,0.19678308823529403,0.6697266373116955,1.0,False,False
VADER affect (paragraph),vader_para_mean_compound,16,34,390.0,0.014538402022268162,0.4338235294117647,0.11185661764705884,0.7352941176470589,0.07269201011134081,0.21807603033402242,False,False
Perpetrator as active agent,sa_perp_active_agency_rate,16,34,193.5,0.09907011085921269,-0.28860294117647056,-0.6103860294117647,0.03230698529411752,0.2909255443080813,1.0,False,False
Victim as passive object,sa_victim_passive_object_rate,16,34,254.5,0.7077650366676009,-0.06433823529411764,-0.3384191176470588,0.25482536764705865,0.7583196821438581,1.0,False,False
Empath: violence vocabulary,empath_violence,16,34,196.0,0.11637021772323254,-0.27941176470588236,-0.6306066176470588,0.05340073529411756,0.2909255443080813,1.0,False,False
Clinical/sterilizing terms,sa_clinical_legal_term_rate,16,34,186.0,0.07453569242073521,-0.3161764705882353,-0.5955882352941176,0.011994485294117604,0.27950884657775704,1.0,False,False
Credibility challenges,sa_credibility_challenge_rate,16,34,259.0,0.7921396547694504,-0.04779411764705882,-0.35854779411764703,0.26383272058823526,0.7921396547694504,1.0,False,False
Hedging density,sa_hedging_allegation_rate,16,34,241.0,0.5258644331649296,-0.11397058823529412,-0.45588235294117646,0.23161764705882354,0.6697266373116955,1.0,False,False
Minimizing language,sa_minimizing_term_rate,16,34,289.0,0.15710857216582405,0.0625,0.0,0.1875,0.33666122606962295,1.0,False,False
Procedural deflection,sa_procedural_deflection_rate,16,34,264.0,0.520146436295395,-0.029411764705882353,-0.08823529411764706,0.0,0.6697266373116955,1.0,False,False
Perpetrator honorifics,sa_perp_honorific_rate,16,34,293.0,0.5804297523368027,0.07720588235294118,-0.19503676470588233,0.34191176470588236,0.6697266373116955,1.0,False,False
Passive voice density,pct_passive_aux,16,34,231.0,0.3996262291484812,-0.15073529411764705,-0.46884191176470585,0.2395220588235289,0.6660437152474687,1.0,False,False
