variable,var_col,stratum,n_male,n_female,median_male,median_female,U,p,cliffs_d,ci_lo,ci_hi
direct_violence,sa_direct_violence_term_rate,full,47,50,0.08270676691729323,0.1612486828240253,699.5,0.0006062668034397066,-0.4046808510638298,-0.6077872340425532,-0.17004255319148953
direct_violence,sa_direct_violence_term_rate,criminal,16,34,0.07607466063348417,0.1636119051622667,103.0,0.0004577439430861606,-0.6213235294117647,-0.8550551470588236,-0.34558823529411764
direct_violence,sa_direct_violence_term_rate,civil,31,16,0.11004784688995216,0.1612486828240253,171.5,0.0879522945963573,-0.3084677419354839,-0.5978326612903225,0.009223790322580507
perp_naming,sa_perp_ref_name_rate,full,47,50,0.32057416267942584,0.12681159420289856,1623.0,0.0012201085854576888,0.38127659574468087,0.16913829787234044,0.5802234042553192
perp_naming,sa_perp_ref_name_rate,criminal,16,34,0.44045325259198087,0.10063157894736842,442.5,0.000385781720167168,0.6268382352941176,0.29761029411764706,0.8676470588235294
perp_naming,sa_perp_ref_name_rate,civil,31,16,0.18796992481203006,0.2919871794871795,258.0,0.8310835121537641,0.04032258064516129,-0.34274193548387094,0.4053427419354838
crime_vocab,empath_crime,full,47,50,0.0111869548729616,0.02269634190189775,512.0,1.7335636168816776e-06,-0.5642553191489361,-0.7358085106382979,-0.38455319148936185
crime_vocab,empath_crime,criminal,16,34,0.0221592271140578,0.028096931283119103,210.0,0.20088600452517213,-0.22794117647058823,-0.557077205882353,0.125
crime_vocab,empath_crime,civil,31,16,0.0088752037674334,0.017744785097285602,60.0,2.5579946433345682e-05,-0.7580645161290323,-0.9354838709677419,-0.5301411290322582
victim_blame,sa_victim_blame_direct_rate,full,47,50,0.014893617021276596,0.01630482941958352,1271.5,0.48034548945884714,0.08212765957446809,-0.15730851063829787,0.3176914893617021
victim_blame,sa_victim_blame_direct_rate,criminal,16,34,0.0,0.0,246.0,0.5634575027026605,-0.09558823529411764,-0.3680147058823529,0.19678308823529403
victim_blame,sa_victim_blame_direct_rate,civil,31,16,0.047619047619047616,0.060237486600148424,204.5,0.33406164917166326,-0.17540322580645162,-0.4789818548387097,0.11290322580645161
affect,vader_para_mean_compound,full,47,50,-0.2244254098360655,-0.319362165775401,1674.0,0.0003201872532316804,0.4246808510638298,0.21868085106382978,0.6208723404255319
affect,vader_para_mean_compound,criminal,16,34,-0.2616497357293869,-0.3552546218487394,390.0,0.014538402022268162,0.4338235294117647,0.11185661764705884,0.7352941176470589
affect,vader_para_mean_compound,civil,31,16,-0.2154916666666666,-0.26783796441653585,312.0,0.15397890191847338,0.25806451612903225,-0.07066532258064516,0.5545362903225806
